Sequence name	HCV-I_PV1_Run3_B	HCV-H_PV1_Run3_B	HCV-J_PV1_Run3_A	JAS_PV1_Run10_A	HCV-H_PV1_Run3_A	HCV-I_PV1_Run3_A	HCV-J_PV1_Run3_B	SB_PV1_Run3_A	JAS_PV1_Run10_B	SB_PV1_Run3_B
PV1_000000	0	0	21	2	2	12	0	2	2	1
PV1_000001	10	10	27	6	10	28	14	17	13	24
PV1_000002	8	5	9	7	31	24	11	19	11	15
PV1_000003	15	8	24	7	22	19	18	23	25	30
PV1_000004	3	2	14	1	1	13	6	4	0	9
PV1_000005	1	0	0	0	1	0	1	2	1	1
PV1_000006	3	2	14	5	14	23	5	6	5	10
PV1_000007	0	0	2	0	2	6	2	0	0	0
PV1_000008	4	1	12	0	9	11	2	8	7	0
PV1_000009	21	1	36	6	22	52	16	15	18	10
PV1_000010	1	1	9	1	2	9	3	4	7	6
PV1_000011	1	2	3	1	1	7	3	8	2	2
PV1_000012	1	0	16	1	2	13	5	7	5	10
PV1_000013	1	0	3	1	2	1	2	0	1	6
PV1_000014	0	2	2	3	1	7	0	6	1	4
PV1_000015	33	13	32	14	41	42	17	59	27	54
PV1_000016	5	5	9	5	10	15	18	28	7	20
PV1_000017	9	5	25	8	27	24	14	23	12	29
PV1_000018	11	6	10	7	9	16	6	15	13	31
PV1_000019	4	3	8	0	4	4	1	7	9	5
PV1_000020	8	0	24	6	15	16	11	30	13	19
PV1_000021	0	2	2	0	2	6	2	2	4	0
PV1_000022	10	1	8	6	8	7	4	14	8	30
PV1_000023	16	9	23	13	19	27	19	38	20	18
PV1_000024	10	5	15	3	24	21	16	14	12	32
PV1_000025	20	10	24	14	29	25	4	35	43	75
PV1_000026	1	2	10	4	2	12	6	21	7	16
PV1_000027	14	4	15	2	15	19	13	22	23	26
PV1_000028	8	1	5	4	6	12	8	19	9	31
PV1_000029	7	9	9	7	21	28	6	23	6	14
PV1_000030	4	4	7	3	4	6	2	4	4	2
PV1_000031	3	3	6	1	3	6	0	7	5	13
PV1_000032	10	2	36	2	12	17	10	15	6	16
PV1_000033	5	1	8	1	10	9	2	3	6	9
PV1_000034	0	0	5	1	3	10	7	7	9	13
PV1_000035	3	0	10	2	6	4	3	10	5	6
PV1_000036	2	4	5	5	10	25	4	14	14	9
PV1_000037	0	0	36	1	5	14	11	5	5	7
PV1_000038	14	8	13	8	21	14	11	23	16	36
PV1_000039	2	7	37	12	18	36	20	20	13	23
PV1_000040	1	0	2	0	0	6	3	0	1	0
PV1_000041	2	1	13	0	14	26	3	17	7	2
PV1_000042	5	6	11	7	16	20	5	19	11	8
PV1_000043	41	15	30	13	39	38	53	55	40	66
PV1_000044	1	0	3	0	5	2	1	2	2	6
PV1_000045	0	0	7	5	2	5	0	0	1	0
