Sequence name	HCV-I_PV1_Run3_B	HCV-H_PV1_Run3_B	HCV-J_PV1_Run3_A	JAS_PV1_Run10_A	HCV-H_PV1_Run3_A	HCV-I_PV1_Run3_A	HCV-J_PV1_Run3_B	SB_PV1_Run3_A	JAS_PV1_Run10_B	SB_PV1_Run3_B
PV1_000000	0.00	0.00	101.69	41.34	12.58	46.22	0.00	11.39	16.95	5.25
PV1_000001	121.51	214.89	130.75	124.01	62.92	107.84	149.91	96.82	110.16	125.95
PV1_000002	97.21	107.44	43.58	144.68	195.06	92.44	117.79	108.21	93.21	78.72
PV1_000003	182.27	171.91	116.22	144.68	138.43	73.18	192.75	130.99	211.85	157.44
PV1_000004	36.45	42.98	67.80	20.67	6.29	50.07	64.25	22.78	0.00	47.23
PV1_000005	12.15	0.00	0.00	0.00	6.29	0.00	10.71	11.39	8.47	5.25
PV1_000006	36.45	42.98	67.80	103.34	88.09	88.59	53.54	34.17	42.37	52.48
PV1_000007	0.00	0.00	9.69	0.00	12.58	23.11	21.42	0.00	0.00	0.00
PV1_000008	48.60	21.49	58.11	0.00	56.63	42.37	21.42	45.56	59.32	0.00
PV1_000009	255.17	21.49	174.33	124.01	138.43	200.28	171.33	85.43	152.53	52.48
PV1_000010	12.15	21.49	43.58	20.67	12.58	34.66	32.12	22.78	59.32	31.49
PV1_000011	12.15	42.98	14.53	20.67	6.29	26.96	32.12	45.56	16.95	10.50
PV1_000012	12.15	0.00	77.48	20.67	12.58	50.07	53.54	39.87	42.37	52.48
PV1_000013	12.15	0.00	14.53	20.67	12.58	3.85	21.42	0.00	8.47	31.49
PV1_000014	0.00	42.98	9.69	62.00	6.29	26.96	0.00	34.17	8.47	20.99
PV1_000015	400.99	279.35	154.96	289.35	257.98	161.76	182.04	336.01	228.80	283.39
PV1_000016	60.76	107.44	43.58	103.34	62.92	57.77	192.75	159.46	59.32	104.96
PV1_000017	109.36	107.44	121.07	165.34	169.89	92.44	149.91	130.99	101.69	152.19
