Sequence name	HCV-I_PV1_Run3_B	HCV-H_PV1_Run3_B	HCV-J_PV1_Run3_A	JAS_PV1_Run10_A	HCV-H_PV1_Run3_A	HCV-I_PV1_Run3_A	HCV-J_PV1_Run3_B	SB_PV1_Run3_A	JAS_PV1_Run10_B	SB_PV1_Run3_B
PV1_000000	-1.00	-1.00	11.22	3.97	0.51	4.56	-1.00	0.37	1.04	-0.37
PV1_000001	0.09	0.93	0.17	0.11	-0.44	-0.03	0.35	-0.13	-0.01	0.13
PV1_000002	0.04	0.15	-0.53	0.55	1.09	-0.01	0.26	0.16	-0.00	-0.16
PV1_000003	0.26	0.19	-0.19	0.00	-0.04	-0.49	0.34	-0.09	0.47	0.09
PV1_000004	0.04	0.23	0.94	-0.41	-0.82	0.43	0.84	-0.35	-1.00	0.35
PV1_000005	0.46	-1.00	-1.00	-1.00	-0.24	-1.00	0.29	0.37	0.02	-0.37
PV1_000006	-0.16	-0.01	0.56	1.39	1.03	1.04	0.24	-0.21	-0.02	0.21
PV1_000007	nan	nan	inf	nan	inf	inf	inf	nan	nan	nan
PV1_000008	1.13	-0.06	1.55	-1.00	1.49	0.86	-0.06	1.00	1.60	-1.00
PV1_000009	2.70	-0.69	1.53	0.80	1.01	1.90	1.48	0.24	1.21	-0.24
PV1_000010	-0.55	-0.21	0.61	-0.24	-0.54	0.28	0.18	-0.16	1.19	0.16
PV1_000011	-0.57	0.53	-0.48	-0.26	-0.78	-0.04	0.15	0.63	-0.40	-0.63
PV1_000012	-0.74	-1.00	0.68	-0.55	-0.73	0.08	0.16	-0.14	-0.08	0.14
PV1_000013	-0.23	-1.00	-0.08	0.31	-0.20	-0.76	0.36	-1.00	-0.46	1.00
PV1_000014	-1.00	0.56	-0.65	1.25	-0.77	-0.02	-1.00	0.24	-0.69	-0.24
PV1_000015	0.29	-0.10	-0.50	-0.07	-0.17	-0.48	-0.41	0.08	-0.26	-0.08
PV1_000016	-0.54	-0.19	-0.67	-0.22	-0.52	-0.56	0.46	0.21	-0.55	-0.21
PV1_000017	-0.23	-0.24	-0.14	0.17	0.20	-0.35	0.06	-0.07	-0.28	0.07
PV1_000018	0.08	0.04	-0.61	0.17	-0.54	-0.50	-0.48	-0.31	-0.11	0.31
PV1_000019	0.47	0.95	0.17	-1.00	-0.24	-0.53	-0.68	0.21	1.31	-0.21
PV1_000020	-0.28	-1.00	-0.14	-0.08	-0.30	-0.54	-0.13	0.26	-0.19	-0.26
PV1_000021	-1.00	6.55	0.70	-1.00	1.21	3.06	2.76	1.00	4.95	-1.00
PV1_000022	0.02	-0.82	-0.67	0.05	-0.58	-0.77	-0.64	-0.33	-0.43	0.33
PV1_000023	0.25	0.24	-0.28	0.73	-0.23	-0.33	0.31	0.39	0.09	-0.39
PV1_000024	-0.02	-0.13	-0.41	-0.50	0.22	-0.35	0.38	-0.36	-0.18	0.36
PV1_000025	-0.18	-0.28	-0.61	-0.02	-0.38	-0.68	-0.86	-0.33	0.23	0.33
PV1_000026	-0.88	-0.58	-0.52	-0.19	-0.88	-0.55	-0.37	0.18	-0.42	-0.18
PV1_000027	0.30	-0.34	-0.44	-0.68	-0.28	-0.44	0.06	-0.04	0.49	0.04
PV1_000028	-0.28	-0.84	-0.82	-0.39	-0.72	-0.66	-0.37	-0.20	-0.44	0.20
PV1_000029	-0.17	0.89	-0.57	0.42	0.29	0.05	-0.37	0.28	-0.50	-0.28
PV1_000030	1.92	4.17	1.04	2.73	0.51	0.39	0.29	0.37	1.04	-0.37
PV1_000031	-0.33	0.19	-0.46	-0.62	-0.65	-0.57	-1.00	-0.26	-0.22	0.26
PV1_000032	0.43	-0.49	1.06	-0.51	-0.11	-0.23	0.26	0.01	-0.40	-0.01
PV1_000033	0.89	-0.33	0.20	-0.36	0.96	0.08	-0.33	-0.47	0.58	0.47
PV1_000034	-1.00	-1.00	-0.55	-0.62	-0.65	-0.29	0.39	-0.26	0.41	0.26
PV1_000035	-0.18	-1.00	0.10	-0.07	-0.15	-0.65	-0.27	0.29	-0.04	-0.29
PV1_000036	-0.62	0.35	-0.62	0.63	-0.01	0.52	-0.33	0.26	0.87	-0.26
PV1_000037	-1.00	-1.00	4.35	-0.37	-0.04	0.65	2.61	-0.13	0.30	0.13
PV1_000038	0.06	0.07	-0.61	0.03	-0.17	-0.66	-0.26	-0.18	-0.15	0.18
PV1_000039	-0.79	0.28	0.53	1.11	-0.03	0.18	0.83	-0.03	-0.06	0.03
PV1_000040	inf	nan	inf	nan	nan	inf	inf	nan	inf	nan
PV1_000041	-0.55	-0.60	0.17	-1.00	0.64	0.87	-0.40	0.80	0.11	-0.80
PV1_000042	-0.19	0.72	-0.29	0.93	0.34	0.03	-0.29	0.44	0.24	-0.44
PV1_000043	0.51	-0.02	-0.56	-0.19	-0.26	-0.56	0.72	-0.05	0.03	0.05
PV1_000044	-0.43	-1.00	-0.32	-1.00	0.47	-0.64	-0.50	-0.47	-0.21	0.47
PV1_000045	nan	nan	inf	inf	inf	inf	nan	nan	inf	nan
PV1_000046	-0.38	-0.56	-0.26	-0.37	-0.49	-0.25	-0.56	-0.13	-0.57	0.13
PV1_000047	0.62	-0.76	0.24	-0.08	-0.09	0.15	-0.17	0.01	0.50	-0.01
PV1_000048	-0.74	-0.49	-0.66	-0.46	-0.51	-0.59	-0.72	0.03	-0.65	-0.03
PV1_000049	5.40	-1.00	8.35	-1.00	2.32	9.82	14.04	1.00	3.46	-1.00
PV1_000050	inf	nan	inf	nan	inf	inf	inf	nan	inf	nan
PV1_000051	7.53	-1.00	90.75	-1.00	16.66	43.60	66.63	1.00	10.89	-1.00
PV1_000052	-0.75	-0.12	-0.51	0.26	-0.49	-0.29	-1.00	-0.07	-0.48	0.07
PV1_000053	-0.02	-0.25	-0.37	-0.13	-0.12	-0.42	-0.03	-0.08	-0.70	0.08
PV1_000054	-1.00	6.54	4.10	-1.00	3.41	9.81	6.52	1.00	4.95	-1.00
PV1_000055	0.20	-0.39	-0.55	0.02	-0.15	-0.35	-0.17	-0.11	-0.70	0.11
PV1_000056	-0.28	-0.49	-0.71	-0.02	-0.52	-0.70	-0.37	-0.02	-0.20	0.02
PV1_000057	-0.01	-1.00	-0.21	0.26	-0.23	-0.06	-1.00	0.04	-0.66	-0.04
PV1_000058	-0.34	-0.83	-0.36	-0.36	0.32	-0.13	-0.42	0.06	-0.08	-0.06
PV1_000059	3.63	-1.00	9.46	4.25	1.40	4.87	5.80	-1.00	7.61	1.00
PV1_000060	0.90	2.37	3.30	1.16	-0.01	3.02	-0.44	0.04	0.77	-0.04
PV1_000061	-0.51	-1.00	-0.22	-1.00	-0.24	0.40	-0.13	0.15	0.71	-0.15
PV1_000062	0.18	0.57	-0.48	0.36	0.09	-0.26	0.38	0.09	0.32	-0.09
PV1_000063	-1.00	0.82	0.33	-0.56	-0.20	0.38	-0.09	0.45	0.25	-0.45
PV1_000064	-0.21	-0.07	-0.58	-0.11	-0.46	-0.50	-0.19	-0.02	0.00	0.02
PV1_000065	-0.08	-0.53	0.26	-0.22	-0.11	-0.42	-0.48	-0.14	-0.54	0.14
PV1_000066	1.73	0.61	20.41	0.55	1.36	2.46	7.02	-0.57	0.90	0.57
PV1_000067	-0.25	-1.00	0.20	0.28	-0.61	0.90	0.32	-0.30	-1.00	0.30
PV1_000068	-0.20	-0.56	-0.60	-0.43	-0.41	-0.52	-0.34	0.28	-0.21	-0.28
PV1_000069	-0.54	-0.07	-0.82	0.35	-0.04	-0.69	-0.94	0.14	-0.26	-0.14
PV1_000070	1.31	-1.00	5.46	2.94	0.20	10.74	5.12	-1.00	2.23	1.00
PV1_000071	0.98	0.56	0.05	0.50	1.05	2.14	0.75	0.24	-0.23	-0.24
PV1_000072	0.54	-1.00	0.85	-1.00	0.60	6.83	-1.00	-1.00	3.31	1.00
PV1_000073	-0.04	-1.00	-0.36	0.64	0.33	-0.19	-0.43	-0.25	0.12	0.25
PV1_000074	-0.10	-0.47	0.14	-0.74	-0.22	-0.19	0.19	0.48	0.68	-0.48
PV1_000075	-0.41	-0.58	-0.76	0.01	-0.82	-0.77	-0.17	-0.28	-0.50	0.28
PV1_000076	0.02	-0.55	-0.56	0.44	0.32	-0.38	0.27	-0.28	0.30	0.28
PV1_000077	0.79	-0.33	-0.47	-0.52	-0.37	-0.58	1.07	0.15	0.57	-0.15
PV1_000078	-0.60	1.13	2.53	0.37	0.46	2.19	0.42	0.13	1.81	-0.13
PV1_000079	-0.18	0.66	-0.62	1.80	0.28	0.12	-0.07	-0.12	0.31	0.12
PV1_000080	-0.28	-0.53	-0.77	0.09	-0.34	-0.75	-0.87	-0.20	-0.11	0.20
PV1_000081	3.63	7.19	2.69	-1.00	6.19	15.14	11.24	-1.00	2.23	1.00
PV1_000082	3.50	-1.00	0.79	-1.00	0.55	3.28	-1.00	-0.30	0.05	0.30
PV1_000083	-0.31	-0.19	-0.63	-0.61	-0.64	-0.49	-0.39	0.40	-0.68	-0.40
PV1_000084	0.12	0.13	-0.23	-0.18	-0.67	-0.29	0.83	-0.17	0.56	0.17
PV1_000085	-1.00	-1.00	7.49	-1.00	3.41	16.57	2.76	1.00	1.97	-1.00
PV1_000086	0.19	-0.70	0.35	-0.71	-0.03	-0.25	-0.25	0.19	0.89	-0.19
PV1_000087	-0.25	-0.56	-0.65	-0.79	-0.29	-0.49	-0.78	-0.13	-0.39	0.13
PV1_000088	-1.00	-1.00	43.18	-1.00	1.21	7.11	6.52	1.00	-1.00	-1.00
PV1_000089	1.18	-1.00	0.73	0.85	6.89	8.31	1.88	0.53	2.79	-0.53
PV1_000090	1.71	1.62	-0.02	1.52	0.28	-0.37	0.09	0.04	0.38	-0.04
PV1_000091	0.04	-0.19	-0.50	-0.02	-0.11	-0.01	0.12	0.40	0.04	-0.40
PV1_000092	0.61	-1.00	0.80	-1.00	0.00	1.46	1.56	-0.39	0.13	0.39
PV1_000093	0.18	0.04	-0.77	0.50	0.68	-0.44	-0.74	0.17	1.36	-0.17
PV1_000094	-0.44	-0.67	-0.75	-0.58	-0.62	-0.61	-0.89	-0.04	-0.61	0.04
PV1_000095	7.53	36.70	9.20	13.51	5.62	15.22	2.76	1.00	7.92	-1.00
PV1_000096	-1.00	0.96	1.48	0.89	-0.08	-0.51	-0.61	0.04	0.24	-0.04
PV1_000097	2.92	0.54	1.17	-0.63	0.13	1.21	3.03	0.53	0.06	-0.53
PV1_000098	1.60	-1.00	0.38	-1.00	0.35	-0.45	-1.00	0.63	3.23	-0.63
PV1_000099	0.15	-0.06	-0.35	0.56	0.74	-0.22	-0.24	-0.14	0.44	0.14
PV1_000100	-0.49	0.81	-0.25	-0.13	0.15	-0.57	-0.55	0.12	0.19	-0.12
PV1_000101	-0.60	-1.00	-0.36	-1.00	-0.58	-0.23	-1.00	0.13	-0.72	-0.13
PV1_000102	-0.50	-0.34	-0.55	0.06	-0.16	-0.37	-0.34	-0.24	-0.30	0.24
PV1_000103	1.42	-1.00	4.71	-1.00	0.48	1.23	2.11	0.24	1.15	-0.24
PV1_000104	1.46	0.74	65.76	-1.00	0.27	3.05	23.24	0.15	-0.31	-0.15
