Sample name	Index1 Matches	Index Pair Matches	DNA Tag Matches
P92_5.1.20_CovA.1F	156	9	9
P92_5.8.20_CovA.1G	156	7	5
Nor.27_1X_PCV_1x_ProG_A	155	10	6
Nor.28_1X_PCV_1x_ProG_A	155	8	7
Nor.29_1X_PCV_1x_ProG_A	155	13	8
Nor.30_1X_PCV_1x_ProG_A	155	7	6
Nor.31_1X_PCV_1x_ProG_A	155	14	9
Nor.32_1X_PCV_1x_ProG_A	155	12	9
Nor.33_1X_PCV_1x_ProG_A	155	14	11
Nor.34_1X_PCV_1x_ProG_A	155	5	2
P78_5.1.20_CovA.1H	156	4	4
P60_5.1.20_CovA.1A	156	11	10
P62_5.1.20_CovA.1B	156	7	4
P62_5.5.20_CovA.1C	155	12	11
P58_5.1.20_CovA.1D	155	10	10
P58_5.8.20_CovA.1E	155	4	3
D10_4.2.20_8.8H	194	5	3
D06_5.1.20_8.9F	194	5	4
BB.8_1X_PCV_1x_ProG_B	193	22	19
BB.9_1X_PCV_1x_ProG_B	193	12	11
BB.10_1X_PCV_1x_ProG_B	193	17	10
BB.11_1X_PCV_1x_ProG_B	193	17	11
BB.12_1X_PCV_1x_ProG_B	193	12	8
BB.13_1X_PCV_1x_ProG_B	193	18	10
BB.14_1X_PCV_1x_ProG_B	193	8	3
JA.s_1X_PCV_1X_ProG_E	193	12	10
D08_5.1.2.20_8.9G	192	5	5
P03_2.25.20_8.2A	192	18	14
P10_2.21.20_8.2D	192	9	7
D09_3.8.20_8.5B	192	3	2
D08_3.18.20_8.5C	192	5	5
D06_3.19.20_8.5D	193	19	16
D15_5.1.20_8.10H	178	18	13
D16_5.1.20_8.11A	178	2	2
D09_5.11.20_8.11C	177	5	5
D11_4.28.20_8.10C	177	12	11
D10_5.6.20_8.10D	177	6	4
D13_5.1.20_8.10E	177	10	8
D12_5.1.20_8.10F	177	5	4
D14_5.1.20_8.10G	177	10	10
D18_5.31.20_8.12E	239	13	11
D19_5.24.20_8.12F	239	5	5
D19_5.31.20_8.12G	239	6	4
P10_5.19.20_8.11D	239	31	25
P03_5.18.20_8.11E	238	21	19
D17_5.24.20_8.12B	239	8	7
D17_5.31.20_8.12C	238	3	3
D18_5.25.20_8.12D	238	10	10
P25_2.26.20_8.4F	421	0	0
P10_3.16.20_8.4G	424	19	18
BB.15_1X_PCV_1x_ProG_A	423	6	1
BB.16_1X_PCV_1x_ProG_A	424	5	2
BB.17_1X_PCV_1x_ProG_A	423	10	6
BB.18_1X_PCV_1x_ProG_A	425	7	3
BB.19_1X_PCV_1x_ProG_A	425	1	1
BB.20_1X_PCV_1x_ProG_A	424	15	5
BB.1_1X_PCV_1x_ProG_A	424	3	0
BB.2_1X_PCV_1x_ProG_A	424	1	0
P18_3.15.20_8.4H	420	10	10
P40_11.2.2019_8.4A	418	75	62
P40_11.26.2019_8.4B	419	63	54
P40_1.31.2019_8.4C	420	94	84
P40_2.25.20_8.4D	419	37	33
P24_3.2.20_8.4E	420	75	62
Superblock_PCV_D	394	54	51
JA_Serum_PCV_C	392	8	8
BB.15_1X_PCV_1x_ProG_B	394	11	8
BB.16_1X_PCV_1x_ProG_B	394	3	3
BB.17_1X_PCV_1x_ProG_B	393	4	2
BB.18_1X_PCV_1x_ProG_B	394	3	0
