Sequence name	SB_PV1_Run3_A	SB_PV1_Run3_B
PV1_014997	17.09	41.98
PV1_014995	0	15.74
PV1_014990	0	0
PV1_014986	136.68	120.7
PV1_014974	113.9	73.47
PV1_014969	0	0
PV1_014961	165.16	152.19
PV1_014953	0	0
PV1_014952	28.48	10.5
PV1_014948	34.17	20.99
PV1_014946	22.78	26.24
PV1_014943	17.09	15.74
PV1_014942	0	0
PV1_014939	119.6	236.16
PV1_014936	56.95	89.21
PV1_014908	5.7	15.74
PV1_014906	51.26	36.74
PV1_014905	113.9	178.43
PV1_014903	11.39	0
PV1_014893	74.04	20.99
PV1_014890	17.09	20.99
PV1_014875	96.82	94.46
PV1_014870	11.39	5.25
PV1_014852	148.07	104.96
PV1_014847	0	0
PV1_014833	0	0
PV1_014829	51.26	47.23
PV1_014828	39.87	57.73
PV1_014827	0	0
PV1_014821	62.65	36.74
PV1_014820	91.12	31.49
PV1_014819	176.55	52.48
PV1_014813	17.09	10.5
PV1_014812	96.82	152.19
PV1_014811	0	0
PV1_014793	34.17	0
PV1_014782	45.56	215.16
PV1_014780	5.7	5.25
PV1_014775	45.56	78.72
PV1_014772	5.7	5.25
PV1_014770	108.21	47.23
PV1_014769	11.39	0
PV1_014766	119.6	115.45
PV1_014765	11.39	10.5
PV1_014751	0	0
PV1_014749	11.39	5.25
PV1_014744	22.78	20.99
PV1_014740	51.26	36.74
PV1_014738	0	15.74
PV1_014735	176.55	73.47
PV1_014732	17.09	15.74
PV1_014729	113.9	204.67
PV1_014727	96.82	115.45
PV1_014724	11.39	0
PV1_014715	79.73	31.49
PV1_014712	62.65	167.93
PV1_014704	392.96	414.58
PV1_014701	256.28	299.13
PV1_014697	17.09	0
PV1_014684	0	20.99
PV1_014679	512.55	335.87
PV1_014676	0	0
PV1_014675	28.48	131.2
PV1_014668	39.87	5.25
PV1_014662	62.65	73.47
PV1_014644	0	0
PV1_014641	17.09	26.24
PV1_014636	17.09	41.98
PV1_014633	39.87	41.98
PV1_014632	96.82	52.48
PV1_014629	22.78	0
PV1_014624	5.7	0
PV1_014619	0	0
PV1_014618	0	0
PV1_014616	22.78	5.25
PV1_014601	153.77	278.14
PV1_014598	34.17	52.48
PV1_014595	0	0
PV1_014588	39.87	99.71
PV1_014584	39.87	62.97
PV1_014579	11.39	5.25
PV1_014567	11.39	0
PV1_014553	22.78	10.5
PV1_014550	11.39	5.25
PV1_014548	5.7	0
PV1_014543	11.39	5.25
PV1_014538	56.95	26.24
PV1_014532	28.48	15.74
PV1_014528	205.02	241.4
PV1_014523	96.82	162.69
PV1_014513	11.39	20.99
PV1_014512	62.65	15.74
PV1_014504	216.41	293.88
PV1_014503	0	0
PV1_014497	5.7	0
PV1_014492	45.56	26.24
PV1_014491	11.39	5.25
PV1_014481	0	5.25
PV1_014477	130.99	62.97
PV1_014476	398.65	535.29
PV1_014469	34.17	52.48
PV1_014468	0	0
PV1_014464	5.7	0
PV1_014462	34.17	0
PV1_014454	0	0
PV1_014453	5.7	0
PV1_014440	68.34	83.97
PV1_014431	22.78	26.24
PV1_014428	0	0
PV1_014424	5.7	5.25
PV1_014422	22.78	26.24
PV1_014414	28.48	36.74
PV1_014406	68.34	36.74
PV1_014400	85.43	68.22
PV1_014869	0	0
PV1_014397	0	0
PV1_014396	136.68	131.2
PV1_014395	5.7	26.24
PV1_014393	136.68	120.7
PV1_014390	165.16	220.41
PV1_014388	5.7	0
PV1_014383	85.43	57.73
PV1_014380	0	0
PV1_014370	56.95	125.95
PV1_014369	56.95	57.73
PV1_014368	28.48	41.98
PV1_014367	68.34	141.69
PV1_014361	22.78	31.49
PV1_014359	5.7	0
PV1_014354	17.09	52.48
PV1_014353	5.7	0
PV1_014348	0	15.74
PV1_014324	5.7	0
PV1_014323	0	10.5
PV1_014321	187.94	377.85
PV1_014318	62.65	78.72
PV1_014308	17.09	99.71
PV1_014452	159.46	188.92
PV1_014304	5.7	0
PV1_014303	130.99	52.48
PV1_014302	45.56	15.74
PV1_014298	96.82	209.92
PV1_014297	22.78	26.24
PV1_014295	22.78	62.97
PV1_014294	79.73	68.22
PV1_014292	74.04	104.96
PV1_014291	45.56	0
PV1_014285	28.48	36.74
PV1_014282	113.9	73.47
PV1_014273	5.7	0
PV1_014271	51.26	78.72
PV1_014270	39.87	10.5
PV1_014267	11.39	0
PV1_014263	0	0
PV1_014261	5.7	15.74
PV1_014259	0	0
